Attempt,Score
1,80
2,75
3,69
4,88
5,86
6,75
7,36
8,75
9,32
10,94
11,30
12,65
13,83
14,58
15,56
16,77
17,31
18,1
19,75
20,83
21,69
22,71
23,77
24,59
25,93
26,69
27,79
28,87
29,88
30,61
31,75
32,29
33,27
34,32
35,34
36,32
37,73
38,61
39,30
40,73
41,31
42,63
43,0
44,81
45,29
46,66
47,27
48,83
49,64
50,77
51,36
52,77
53,61
54,73
55,82
56,71
57,31
58,59
59,65
60,81
61,29
62,0
63,51
64,69
65,48
66,66
67,76
68,81
69,31
70,61
71,87
72,79
73,78
74,27
75,30
76,83
77,60
78,93
79,42
80,81
81,32
82,81
83,81
84,70
85,71
86,71
87,86
88,0
89,30
90,0
91,19
92,32
93,89
94,76
95,28
96,19
97,78
98,75
99,81
100,75
101,68
102,87
103,80
104,30
105,75
106,77
107,80
108,45
109,79
110,83
111,81
112,31
113,25
114,78
115,76
116,83
117,64
118,32
119,71
120,30
121,83
122,86
123,77
124,69
125,1
126,83
127,74
128,74
129,94
130,77
131,72
132,71
133,77
134,77
135,71
136,81
137,94
138,70
139,76
140,76
141,63
142,16
143,29
144,72
145,61
146,64
147,66
148,75
149,31
150,30
151,19
152,89
153,37
154,31
155,77
156,94
157,32
158,91
159,76
160,75
161,64
162,32
163,23
164,75
165,73
166,76
167,84
168,79
169,75
170,71
171,60
172,71
173,25
174,31
175,70
176,81
177,72
178,0
179,75
180,37
181,0
182,32
183,75
184,31
185,75
186,82
187,78
188,17
189,74
190,73
191,77
192,34
193,88
194,77
195,75
196,31
197,81
198,20
199,36
200,73
201,31
202,74
203,31
204,76
205,0
206,82
207,89
208,37
209,32
210,70
211,78
212,62
213,87
214,59
215,81
216,37
217,29
218,70
219,30
220,78
221,79
222,78
223,26
224,84
225,73
226,88
227,68
228,37
229,31
230,82
231,94
232,83
233,74
234,81
235,66
236,0
237,73
238,36
239,94
240,31
241,75
242,94
243,35
244,35
245,66
246,81
247,32
248,77
249,53
250,92
251,31
252,73
253,64
254,77
255,88
256,19
257,72
258,36
259,83
260,76
261,27
262,28
263,16
264,76
265,30
266,61
267,93
268,88
269,94
270,80
271,37
272,64
273,88
274,29
275,68
276,71
277,71
278,82
279,56
280,81
281,77
282,81
283,79
284,89
285,84
286,30
287,70
288,89
289,86
290,55
291,69
292,82
293,29
294,92
295,24
296,32
297,30
298,82
299,80
300,94
301,83
302,84
303,78
304,88
305,77
306,71
307,23
308,71
309,80
310,31
311,70
312,62
313,74
314,68
315,94
316,74
317,80
318,32
319,24
320,64
321,64
322,77
323,25
324,89
325,76
326,1
327,60
328,71
329,48
330,36
331,75
332,34
333,32
334,65
335,88
336,77
337,93
338,73
339,78
340,30
341,93
342,30
343,40
344,76
345,30
346,26
347,61
348,1
349,32
350,80
351,79
352,74
353,92
354,32
355,88
356,30
357,89
358,87
359,71
360,65
361,54
362,77
363,86
364,34
365,77
366,79
367,56
368,80
369,89
370,92
371,32
372,30
373,28
374,22
375,80
376,76
377,30
378,87
379,35
380,88
381,65
382,78
383,35
384,30
385,82
386,88
387,93
388,89
389,70
390,77
391,77
392,24
393,77
394,37
395,72
396,32
397,31
398,74
399,78
400,87
401,75
402,78
403,78
404,0
405,86
406,83
407,84
408,76
409,31
410,72
411,81
412,77
413,94
414,83
415,29
416,31
417,75
418,94
419,30
420,76
421,78
422,0
423,32
424,76
425,29
426,81
427,76
428,54
429,73
430,94
431,76
432,62
433,79
434,29
435,78
436,65
437,82
438,76
439,62
440,73
441,61
442,74
443,77
444,56
445,71
446,77
447,31
448,32
449,78
450,88
451,67
452,77
453,30
454,81
455,71
456,74
457,70
458,26
459,83
460,94
461,24
462,66
463,10
464,87
465,32
466,82
467,82
468,1
469,71
470,77
471,81
472,94
473,86
474,78
475,30
476,29
477,92
478,0
479,69
480,71
481,79
482,78
483,88
484,73
485,31
486,42
487,76
488,87
489,63
490,77
491,32
492,76
493,32
494,76
495,76
496,76
497,77
498,82
499,88
500,77
501,72
502,67
503,24
504,36
505,78
506,64
507,34
508,77
509,30
510,94
511,83
512,87
513,81
514,32
515,81
516,77
517,76
518,87
519,77
520,81
521,89
522,36
523,94
524,76
525,30
526,82
527,69
528,88
529,77
530,77
531,74
532,30
533,75
534,75
535,37
536,94
537,31
538,77
539,82
540,30
541,76
542,77
543,89
544,29
545,27
546,77
547,75
548,48
549,93
550,0
551,21
552,59
553,29
554,67
555,78
556,66
557,57
558,78
559,31
560,60
561,41
562,1
563,81
564,43
565,39
566,73
567,55
568,39
569,32
570,79
571,47
572,60
573,47
574,57
575,31
576,88
577,80
578,45
579,84
580,71
581,34
582,31
583,26
584,37
585,58
586,71
587,74
588,82
589,63
590,66
591,41
592,48
593,51
594,68
595,44
596,0
597,58
598,20
599,52
600,51
601,67
602,68
603,67
604,65
605,31
606,52
607,60
608,21
609,22
610,34
611,52
612,29
613,69
614,25
615,22
616,55
617,21
618,38
619,21
620,43
621,57
622,58
623,62
624,52
625,1
